,Tweets,Sentiment
0,RT Our Police people learned anything EndSARS protest They returned criminality full for…,Positive
1,RT Our Police people learned anything EndSARS protest They returned criminality full for…,Positive
2,RT Janet Jackson ’ Control The Visual Album Janet Jackson 2021 SolarKobaltSony Rec On YouTube,Positive
3,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
4,RT 17yr old Kemisola Ogunniye detention since 241020 arrested way get medica…,Negative
5,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
6,RT 17yr old Kemisola Ogunniye detention since 241020 arrested way get medica…,Negative
7,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
8,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
9,RT Dangerous men Won ti tu bere EndSARS ReformPoliceNG JusticeForVictims💔💔 Legacy After massacres Shiites IPOB…,Positive
10,RT 17yr old Kemisola Ogunniye detention since 241020 arrested way get medica…,Negative
11,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
12,RT 17yr old Kemisola Ogunniye detention since 241020 arrested way get medica…,Negative
13,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
14,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
15,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
16,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
17,RT Our Police people learned anything EndSARS protest They returned criminality full for…,Positive
18,RT This AYODELE IBUKUN girl arrested alongside Kemi She tortured till lo…,Positive
19,RT 17yr old Kemisola Ogunniye detention since 241020 arrested way get medica…,Negative
