,Tweets,Sentiment
0,RT Live life right,Positive
1,RT Music good Islam Accepted go still use DavidoNairamarley songs promote business 😂 Anipe pe…,Positive
2,RT actually sold table 6000 man beast FR,Negative
3,Abeg make person answer oo,Positive
4,RT WATCH FOR YOU FT,Positive
5,RT So I finally found perfect pidgin teacher‼️😂 Not bad right I ’ still learningTULEEEEEE 😂 Go stream s…,Negative
6,RT Davido turned hit making Habit ABT far many hits one album 😤😤,Negative
7,U go like get sense abi Its name private jet,Positive
8,RT So I finally found perfect pidgin teacher‼️😂 Not bad right I ’ still learningTULEEEEEE 😂 Go stream s…,Negative
9,New music hennessy hand one dance remix By like follow pls …,Positive
10,RT DAVIDO HIS ARMY 30BG,Positive
11,I wonder guy always first comment every Twitter post u…,Positive
12,RT Featuring “ SOMEBODY BABY ” Has Reached A New Peak Position Of 15 On Sierra Leone 🇸🇱 Apple Music Top Son…,Positive
13,RT So I finally found perfect pidgin teacher‼️😂 Not bad right I ’ still learningTULEEEEEE 😂 Go stream s…,Negative
14,RT Davido de Nigeria de win Artiste Year Ghana,Positive
15,RT Abeg make Davido cut soap Wizkid Burna Davido dey hot abeg 😂🤲🏻,Negative
16,RT Has Surpassed 900K Followers On Audiomack —He Extends His Record As The Most Followed African Artiste On This…,Positive
17,RT Top 10 songs Nigeria 1 amp Somebody Baby 2 23 3 Essence 4 Forever R…,Negative
18,RT Peruzzi X Davido Somebody baby 🔥 We dey chopYou dey smile Fendi versace Christian Dior Who Dey swag pass Wetin Dey sup…,Positive
19,RT Davido turned hit making Habit ABT far many hits one album 😤😤,Negative
